Horas,Carga,GerSolar,CargaVE,Previsao
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.25,2.5,1.25,0.0,0.0
5.5,5.0,2.5,0.0,0.0
5.75,7.5,3.75,0.0,0.0
6.0,10.0,5.0,0.0,0.0
6.25,32.5,6.25,0.0,-22.5
6.5,55.0,7.5,0.0,-45.0
6.75,77.5,8.75,0.0,-67.5
7.0,100.0,10.0,0.0,-90.0
7.25,200.0,32.5,0.0,-167.5
7.5,300.0,55.0,0.0,-245.0
7.75,400.0,77.5,0.0,-322.5
8.0,500.0,100.0,0.0,-400.0
8.25,400.0,325.0,0.0,-75.0
8.5,300.0,550.0,0.0,250.0
8.75,200.0,775.0,0.0,575.0
9.0,100.0,1000.0,0.0,900.0
9.25,77.5,1250.0,0.0,1172.5
9.5,55.0,1500.0,0.0,1445.0
9.75,32.5,1750.0,0.0,1717.5
10.0,10.0,2000.0,0.0,1990.0
10.25,257.5,2250.0,0.0,1492.5
10.5,505.0,2500.0,0.0,995.0
10.75,752.5,2750.0,0.0,497.5
11.0,1000.0,3000.0,0.0,0.0
11.25,1250.0,3500.0,2500.0,0.0
11.5,1500.0,4000.0,3750.0,0.0
11.75,1750.0,4500.0,3750.0,0.0
12.0,2000.0,5000.0,4000.0,0.0
12.25,1750.0,4750.0,3750.0,750.0
12.5,1500.0,4500.0,2500.0,1500.0
12.75,1250.0,4250.0,1250.0,2250.0
13.0,1000.0,4000.0,0.0,3000.0
13.25,775.0,3750.0,0.0,2225.0
13.5,550.0,3500.0,0.0,1450.0
13.75,325.0,3250.0,0.0,675.0
14.0,100.0,3000.0,0.0,-100.0
14.25,77.5,2750.0,0.0,172.5
14.5,55.0,2500.0,0.0,445.0
14.75,32.5,2250.0,0.0,717.5
15.0,10.0,2000.0,0.0,990.0
15.25,10.0,1750.0,0.0,990.0
15.5,10.0,1500.0,0.0,990.0
15.75,10.0,1250.0,0.0,990.0
16.0,10.0,1000.0,0.0,990.0
16.25,10.0,1000.0,0.0,490.0
16.5,10.0,1000.0,0.0,-10.0
16.75,10.0,1000.0,0.0,-510.0
17.0,10.0,1000.0,0.0,-1010.0
17.25,32.5,775.0,0.0,-757.5
17.5,55.0,550.0,0.0,-505.0
17.75,77.5,325.0,0.0,-252.5
18.0,100.0,100.0,0.0,0.0
18.25,200.0,76.25,2500.0,-123.75
18.5,300.0,52.5,3750.0,-247.5
18.75,400.0,28.75,3750.0,-371.25
19.0,500.0,5.0,4000.0,-495.0
19.25,625.0,3.75,3750.0,-621.25
19.5,750.0,2.5,2500.0,-747.5
19.75,875.0,1.25,1250.0,-873.75
20.0,1000.0,0.0,0.0,-1000.0
20.25,1250.0,0.0,0.0,-1250.0
20.5,1500.0,0.0,0.0,-1500.0
20.75,1750.0,0.0,0.0,-1750.0
21.0,2000.0,0.0,0.0,-2000.0
21.25,1625.0,0.0,0.0,-1625.0
21.5,1250.0,0.0,0.0,-1250.0
21.75,875.0,0.0,0.0,-875.0
22.0,500.0,0.0,0.0,-500.0
22.25,377.5,0.0,0.0,-377.5
22.5,255.0,0.0,0.0,-255.0
22.75,132.5,0.0,0.0,-132.5
23.0,10.0,0.0,0.0,-10.0
23.25,10.0,0.0,0.0,-10.0
23.5,10.0,0.0,0.0,-10.0
23.75,10.0,0.0,0.0,-10.0
